ID,LIMIT_BAL,AGE,PAY_0,BILL_AMT1,PAY_AMT1,actual_default,predicted_default_probability,risk_segment
17779,60000,59,4,54506,4000,0,0.7964088951003658,Very High
23308,160000,30,0,86454,3000,1,0.23012189426192106,Low
22443,400000,46,0,260,60064,1,0.6550539400917675,Very High
21144,60000,36,0,37129,1602,1,0.38283804163614554,Elevated
27797,260000,26,0,238110,10368,0,0.23012189426192106,Low
22408,360000,30,0,20992,20000,0,0.23012189426192106,Low
9493,50000,38,1,51106,0,1,0.7735534076852892,Very High
29959,230000,31,0,4261,1000,0,0.4787548264965612,Elevated
7439,30000,43,0,25166,1437,0,0.4787548264965612,Elevated
18923,390000,28,0,202248,10000,0,0.2969376556285609,Moderate
26426,180000,31,0,112164,1821,0,0.23012189426192106,Low
1047,220000,30,0,162105,10000,1,0.23012189426192106,Low
19774,150000,48,0,9730,0,0,0.2712812631662762,Moderate
14584,60000,43,2,4703,0,1,0.8837290745778793,Very High
13474,150000,37,0,71341,4117,0,0.23012189426192106,Low
24177,110000,30,0,35283,1500,0,0.4787548264965612,Elevated
9037,30000,45,0,28185,1377,0,0.4787548264965612,Elevated
21394,200000,58,0,0,0,1,0.4787548264965612,Elevated
11851,80000,28,0,390,390,1,0.4787548264965612,Elevated
1133,270000,44,3,256402,17944,0,0.9260126453015733,Very High
25283,70000,24,0,69039,3000,0,0.38283804163614554,Elevated
22534,180000,36,0,4911,2000,0,0.23012189426192106,Low
15693,80000,26,0,350,0,0,0.4787548264965612,Elevated
17400,60000,36,0,57724,2000,0,0.38283804163614554,Elevated
8352,280000,23,0,262579,6453,0,0.23012189426192106,Low
19583,80000,44,0,22771,1239,0,0.2712812631662762,Moderate
19698,120000,38,2,63700,3000,1,0.9260126453015733,Very High
11947,30000,25,0,29883,2000,1,0.6832214599145177,Very High
20514,20000,27,1,0,18965,0,0.3396499288321693,Moderate
3927,20000,24,0,17697,1634,0,0.41588151022565645,Elevated
23502,60000,31,1,20544,0,0,0.7132952380403815,Very High
2657,100000,27,0,36014,4200,1,0.570501077187048,High
17183,130000,28,0,29974,5026,0,0.23012189426192106,Low
26571,280000,56,0,-5,4614,0,0.3697892966663365,Elevated
11068,120000,34,0,326,499,0,0.347541273276117,Elevated
28080,150000,48,0,3611,2000,0,0.2969376556285609,Moderate
26225,150000,37,0,6039,3000,0,0.23012189426192106,Low
17283,130000,37,0,0,0,1,0.4787548264965612,Elevated
4311,140000,49,0,2457,0,0,0.4787548264965612,Elevated
9719,50000,31,0,44970,3855,1,0.570501077187048,High
7449,180000,41,0,16366,18339,0,0.23012189426192106,Low
7938,150000,25,0,18836,2000,0,0.2969376556285609,Moderate
28867,310000,35,0,1815,3689,0,0.347541273276117,Elevated
6348,260000,31,0,82274,0,0,0.7549348273892288,Very High
20913,180000,34,0,0,0,0,0.4787548264965612,Elevated
7018,20000,38,0,19845,1694,0,0.41588151022565645,Elevated
1943,120000,45,0,20877,1369,0,0.4787548264965612,Elevated
9819,50000,41,0,36696,10000,0,0.38283804163614554,Elevated
19997,60000,37,0,59462,3000,1,0.38283804163614554,Elevated
17721,150000,36,1,0,990,0,0.3396499288321693,Moderate
15675,550000,31,1,17516,0,0,0.5382018784947318,High
10312,110000,45,0,108214,5300,0,0.23012189426192106,Low
20130,140000,42,2,141321,4300,1,0.8837290745778793,Very High
18057,500000,47,0,21376,20473,0,0.23012189426192106,Low
14594,80000,44,0,80808,6926,0,0.570501077187048,High
27749,130000,26,2,130535,6000,1,0.8837290745778793,Very High
4091,50000,24,0,35166,1300,0,0.4787548264965612,Elevated
19736,200000,27,0,62574,2278,0,0.23012189426192106,Low
26723,180000,26,0,189,0,0,0.2712812631662762,Moderate
19295,200000,36,0,193083,9000,0,0.23012189426192106,Low
9234,140000,30,2,145627,6005,0,0.8837290745778793,Very High
14822,80000,25,0,57994,3327,0,0.570501077187048,High
23541,360000,45,0,0,2500,0,0.7549348273892288,Very High
16730,50000,34,1,33776,1900,1,0.7735534076852892,Very High
17619,80000,32,0,4927,0,1,0.6550539400917675,Very High
21999,190000,27,0,97136,4418,0,0.23012189426192106,Low
23643,280000,35,0,6494,28723,0,0.23012189426192106,Low
14974,30000,55,2,2395,0,1,0.9260126453015733,Very High
9503,80000,52,0,63134,2087,0,0.23012189426192106,Low
2752,360000,39,0,655,0,0,0.6550539400917675,Very High
25477,70000,24,0,47663,1000,0,0.4787548264965612,Elevated
10325,220000,39,0,192815,20000,0,0.23012189426192106,Low
4073,360000,35,0,11936,21983,0,0.23012189426192106,Low
6883,230000,45,0,144407,5400,0,0.23012189426192106,Low
7147,290000,37,0,199911,8001,0,0.23012189426192106,Low
16126,30000,34,2,16944,0,1,0.9260126453015733,Very High
18094,240000,40,0,245311,8491,0,0.23012189426192106,Low
19646,360000,30,0,4765,3434,0,0.2969376556285609,Moderate
3865,30000,23,0,19594,1346,0,0.4787548264965612,Elevated
29016,140000,43,2,90632,0,1,0.8837290745778793,Very High
6817,120000,27,0,22027,35000,0,0.23012189426192106,Low
13742,50000,35,0,48264,1565,1,0.38283804163614554,Elevated
14255,50000,22,1,50781,41,0,0.7132952380403815,Very High
9012,300000,48,2,304040,11500,1,0.8837290745778793,Very High
198,20000,22,0,18553,1500,0,0.2712812631662762,Moderate
7007,320000,33,1,0,0,0,0.3396499288321693,Moderate
8332,140000,40,0,138389,5148,0,0.23012189426192106,Low
17483,250000,33,3,2500,0,1,0.8837290745778793,Very High
14916,470000,37,0,134561,150055,0,0.23012189426192106,Low
6464,160000,34,0,18958,24000,0,0.23012189426192106,Low
27677,200000,36,0,184697,8001,0,0.23012189426192106,Low
4517,80000,39,0,63368,5000,0,0.23012189426192106,Low
18622,270000,26,1,0,0,0,0.6088952019010146,High
19848,100000,30,2,736,1237,0,0.7660818893216393,Very High
1497,360000,35,2,360023,14693,1,0.8837290745778793,Very High
13146,350000,39,0,3860,648,0,0.347541273276117,Elevated
7815,30000,27,0,4527,3000,0,0.38283804163614554,Elevated
15374,280000,32,0,11561,1300,0,0.4787548264965612,High
22791,20000,36,0,223,0,0,0.4787548264965612,High
2940,390000,31,0,19469,2227,0,0.23012189426192106,Low
22036,230000,28,0,7539,6500,0,0.23012189426192106,Low
10373,200000,33,0,846,4974,0,0.2969376556285609,Moderate
19931,50000,36,0,26277,1700,0,0.38283804163614554,Elevated
25237,80000,25,0,3377,3377,0,0.347541273276117,Elevated
27369,30000,29,1,24180,0,0,0.7132952380403815,Very High
8108,30000,39,0,28708,1514,0,0.41588151022565645,Elevated
15961,300000,30,0,217329,8000,0,0.23012189426192106,Low
28299,30000,31,0,28651,1800,0,0.38283804163614554,Elevated
17847,200000,26,2,196979,7800,1,0.9260126453015733,Very High
14304,20000,27,0,6599,3000,0,0.5348990689804838,High
29682,360000,40,0,499,0,1,0.3697892966663365,Elevated
3952,70000,28,0,9214,1500,0,0.38283804163614554,Elevated
23768,180000,53,0,-1580,0,0,0.4787548264965612,High
11084,360000,34,1,0,0,1,0.6088952019010146,High
8947,50000,53,0,6618,1133,0,0.4787548264965612,High
12871,160000,27,0,165,0,1,0.4787548264965612,High
10338,20000,47,3,17772,1300,1,0.9260126453015733,Very High
15113,250000,51,0,-18,2518,0,0.2969376556285609,Moderate
13901,30000,27,0,18951,1270,0,0.4787548264965612,High
5264,180000,33,0,30781,2000,0,0.2969376556285609,Moderate
28533,50000,44,1,13112,2100,1,0.8800187576626742,Very High
10652,500000,54,0,2634,1119,0,0.4787548264965612,High
25426,50000,26,0,41891,1781,0,0.38283804163614554,Elevated
21512,30000,23,2,729,483,1,0.7660818893216393,Very High
14663,400000,33,0,7768,31330,0,0.23012189426192106,Low
4431,270000,38,0,60654,3000,0,0.23012189426192106,Low
13348,20000,38,0,18669,1326,0,0.4787548264965612,High
27767,50000,25,1,0,0,1,0.6088952019010146,High
1758,360000,32,0,0,0,0,0.4787548264965612,High
28362,200000,40,0,3827,8030,0,0.23012189426192106,Low
29142,480000,52,0,105286,87170,0,0.23012189426192106,Low
21662,90000,23,0,3030,0,0,0.4787548264965612,High
21807,140000,26,0,21688,0,0,0.4787548264965612,High
14514,460000,43,0,323408,5229,0,0.23012189426192106,Low
29215,20000,24,1,6696,1000,1,0.7132952380403815,Very High
25902,240000,36,0,232031,8193,0,0.23012189426192106,Low
24208,150000,25,0,141242,4000,0,0.23012189426192106,Low
2471,140000,29,2,97905,4700,1,0.9260126453015733,Very High
4750,50000,58,0,1956,2060,0,0.38283804163614554,Elevated
6858,180000,33,0,996,1503,1,0.2969376556285609,Moderate
4656,100000,46,0,39245,3000,0,0.5348990689804838,High
803,50000,44,0,2000,780,0,0.2712812631662762,Moderate
27236,100000,31,1,20505,2700,0,0.7132952380403815,Very High
15034,180000,36,2,114140,5000,1,0.9260126453015733,Very High
27199,30000,35,1,0,26232,1,0.6088952019010146,High
15057,20000,40,1,9080,0,0,0.7132952380403815,Very High
27653,50000,23,0,15252,2200,0,0.6832214599145177,Very High
6732,80000,60,0,53315,3300,0,0.23012189426192106,Low
11711,140000,38,0,15438,2620,0,0.6550539400917675,Very High
19825,20000,46,3,10145,0,1,0.8837290745778793,Very High
9131,50000,24,2,50710,1974,1,0.8837290745778793,Very High
22690,340000,34,0,16462,1310,0,0.23012189426192106,Low
6572,30000,22,0,28622,1700,0,0.41588151022565645,Elevated
22928,120000,34,0,515,882,0,0.347541273276117,Elevated
13981,360000,30,0,750,1166,0,0.4787548264965612,High
18913,280000,28,0,269,4166,0,0.23012189426192106,Low
10329,110000,32,0,30852,1906,0,0.6832214599145177,Very High
9387,200000,70,0,7109,10025,0,0.23012189426192106,Low
13137,300000,34,0,1257,5600,0,0.2969376556285609,Moderate
16328,180000,49,0,0,0,0,0.4787548264965612,High
1358,20000,22,2,16726,3000,1,0.8837290745778793,Very High
20939,280000,39,0,6251,12577,0,0.23012189426192106,Low
2009,360000,32,1,-301,0,1,0.6088952019010146,High
12091,50000,30,1,52419,0,0,0.7132952380403815,Very High
13875,180000,41,0,99925,5024,0,0.23012189426192106,Low
21259,240000,50,0,35117,11051,0,0.23012189426192106,Low
18956,50000,23,0,51002,1983,1,0.38283804163614554,Elevated
20586,400000,30,0,162540,10000,0,0.23012189426192106,Low
10033,200000,27,0,1990,2035,1,0.2969376556285609,Moderate
16854,80000,36,3,600,0,1,0.9260126453015733,Very High
25602,200000,40,0,225480,7263,0,0.23012189426192106,Low
29528,180000,39,0,715,4637,0,0.2969376556285609,Moderate
12053,80000,37,0,39839,1700,0,0.23012189426192106,Low
2074,250000,50,0,390,390,0,0.2712812631662762,Moderate
2536,20000,46,0,11325,1519,0,0.41588151022565645,Elevated
26476,120000,52,1,123184,0,1,0.7132952380403815,Very High
14401,200000,39,0,31236,1838,0,0.2969376556285609,Moderate
25784,150000,37,0,20224,24840,0,0.23012189426192106,Low
27455,50000,49,1,47360,0,0,0.7132952380403815,Very High
27473,60000,50,0,7888,14026,0,0.38283804163614554,Elevated
12697,370000,42,0,271452,11295,0,0.23012189426192106,Low
10572,100000,41,0,7432,1633,1,0.347541273276117,Elevated
6309,70000,28,0,20335,2000,0,0.41588151022565645,Elevated
28317,60000,27,0,7301,11512,0,0.20287159931475213,Low
5251,20000,40,0,6689,1300,0,0.4787548264965612,High
21422,290000,28,0,125679,4315,0,0.23012189426192106,Low
19842,130000,33,0,63505,5000,0,0.23012189426192106,Low
12129,50000,46,0,49776,2056,1,0.41588151022565645,Elevated
28582,10000,33,2,7486,3000,0,0.8837290745778793,Very High
20737,20000,22,1,10591,0,0,0.7132952380403815,Very High
15102,360000,35,0,1540,1102,0,0.347541273276117,Elevated
25448,240000,27,0,118175,0,0,0.4787548264965612,High
21023,200000,34,0,3253,4005,0,0.2969376556285609,Moderate
19604,360000,48,0,2500,0,1,0.4787548264965612,High
25368,90000,24,0,77860,3292,0,0.2969376556285609,Moderate
5989,280000,28,1,285249,5,0,0.5382018784947318,High
7478,170000,31,0,2908,3408,0,0.347541273276117,Elevated
14542,50000,31,2,48903,6500,1,0.8837290745778793,Very High
20954,140000,41,0,185948,6088,0,0.23012189426192106,Low
22650,320000,35,0,1302,3571,0,0.2969376556285609,Moderate
14815,230000,29,0,8916,318,0,0.2712812631662762,Moderate
21387,40000,57,0,87313,2729,0,0.38283804163614554,Elevated
5976,50000,24,0,14814,10755,0,0.20287159931475213,Low
14413,230000,31,1,0,2716,0,0.3396499288321693,Moderate
11693,80000,41,1,102383,0,0,0.7132952380403815,Very High
22518,10000,43,0,1593,2006,0,0.38283804163614554,Elevated
10881,50000,23,0,50643,2741,0,0.38283804163614554,Elevated
28107,500000,44,0,29996,10625,0,0.23012189426192106,Low
23301,340000,33,0,1632,2027,0,0.347541273276117,Elevated
14152,20000,43,1,4094,0,0,0.7132952380403815,Very High
1500,20000,27,1,6274,0,0,0.7132952380403815,Very High
593,50000,35,0,34976,1127,0,0.4787548264965612,High
10093,180000,43,0,1473,22969,0,0.23012189426192106,Low
15152,80000,23,2,74860,6865,1,0.9260126453015733,Very High
2140,260000,43,1,0,0,1,0.5087149171511306,High
27161,20000,40,3,300,0,1,0.6670123550244665,Very High
4828,60000,31,0,58173,3400,0,0.38283804163614554,Elevated
21812,20000,24,3,17690,2000,1,0.9260126453015733,Very High
21400,110000,56,0,93983,3371,0,0.23012189426192106,Low
6179,240000,37,0,-3,0,0,0.4787548264965612,High
20358,130000,27,0,500,2000,1,0.2969376556285609,Moderate
19401,80000,35,2,252,0,0,0.6670123550244665,Very High
21499,140000,30,0,0,0,0,0.4787548264965612,High
12657,70000,34,0,58875,0,0,0.20287159931475213,Low
12997,230000,43,2,222819,14300,1,0.8837290745778793,Very High
25227,80000,25,0,26855,2386,0,0.5348990689804838,High
7960,50000,58,1,32113,0,0,0.8800187576626742,Very High
6548,150000,36,0,70001,2500,0,0.2969376556285609,Moderate
18567,320000,26,0,320983,14000,0,0.23012189426192106,Low
5590,50000,39,0,47407,2039,0,0.41588151022565645,Elevated
9074,110000,35,0,549,0,0,0.4787548264965612,High
18310,240000,28,0,1444,2553,0,0.2969376556285609,Moderate
5023,230000,26,0,-10,2122,0,0.6550539400917675,Very High
27291,240000,35,0,18392,1505,0,0.2969376556285609,Moderate
21204,490000,43,2,3956,3081,1,0.8837290745778793,Very High
27490,140000,53,0,133167,5400,0,0.23012189426192106,Low
15532,240000,38,2,7123,836,1,0.8837290745778793,Very High
13795,360000,28,0,0,0,0,0.4787548264965612,High
19903,400000,44,0,0,804,0,0.347541273276117,Elevated
12442,460000,34,0,362816,15325,0,0.23012189426192106,Low
10761,90000,24,0,520,0,0,0.4787548264965612,High
5160,400000,28,0,1416,1052,0,0.347541273276117,Elevated
3141,20000,49,1,18718,0,1,0.7132952380403815,Very High
23486,90000,32,0,7563,0,0,0.4787548264965612,High
15768,10000,23,0,5403,1300,0,0.4787548264965612,High
27496,170000,57,0,792,0,1,0.347541273276117,Elevated
27603,400000,29,0,7622,39097,0,0.23012189426192106,Low
6062,150000,36,2,137723,7000,0,0.9260126453015733,Very High
8658,80000,26,0,29322,3000,1,0.23012189426192106,Low
3295,380000,36,0,68943,8000,0,0.23012189426192106,Low
11157,180000,31,0,2930,3300,0,0.347541273276117,Elevated
21002,280000,40,2,178220,10000,1,0.8837290745778793,Very High
18017,20000,40,0,13195,1238,0,0.6832214599145177,Very High
22753,200000,34,0,205362,5504,0,0.2969376556285609,Moderate
28033,50000,29,2,50461,2100,0,0.8837290745778793,Very High
19190,200000,43,1,119432,0,1,0.5382018784947318,High
4620,150000,43,0,89488,5016,0,0.23012189426192106,Low
29121,400000,50,0,15986,4359,0,0.3697892966663365,Elevated
15337,220000,34,0,387,1086,0,0.347541273276117,Elevated
2720,150000,49,0,111348,6000,0,0.23012189426192106,Low
13923,40000,24,0,35225,1933,1,0.41588151022565645,Elevated
18099,50000,41,0,5620,42100,0,0.570501077187048,High
5500,390000,39,0,48417,2000,0,0.23012189426192106,Low
5413,50000,49,0,24282,1500,0,0.4787548264965612,High
26117,80000,36,0,77998,3700,0,0.23012189426192106,Low
21995,170000,26,0,22680,2000,0,0.23012189426192106,Low
4019,360000,39,1,0,0,1,0.6088952019010146,High
25324,150000,28,0,25639,2000,0,0.23012189426192106,Low
2252,50000,36,2,2590,2458,0,0.9260126453015733,Very High
27850,50000,23,2,46913,1938,0,0.8837290745778793,Very High
3464,30000,22,0,-854,33404,0,0.41588151022565645,Elevated
248,100000,27,0,37767,1788,0,0.23012189426192106,Low
26862,340000,39,0,148624,4000,0,0.23012189426192106,Low
14764,220000,36,2,195725,8200,1,0.8837290745778793,Very High
2748,290000,38,0,144160,6000,0,0.23012189426192106,Low
25164,60000,41,0,56309,3000,0,0.38283804163614554,Elevated
2311,30000,47,1,23709,0,0,0.7132952380403815,Very High
19510,400000,40,0,27035,28204,0,0.23012189426192106,Low
7241,180000,36,0,2846,2092,0,0.347541273276117,Elevated
9912,110000,42,0,100534,3678,0,0.23012189426192106,Low
11492,210000,45,0,82902,3814,0,0.23012189426192106,Low
13170,470000,39,0,79455,2348,0,0.2969376556285609,Moderate
27670,30000,24,1,26690,2000,0,0.7132952380403815,Very High
11290,280000,31,0,1558,0,0,0.4787548264965612,High
2919,120000,23,0,100727,4324,1,0.23012189426192106,Low
28417,230000,29,0,12394,2102,0,0.23012189426192106,Low
5915,200000,53,0,5059,0,0,0.347541273276117,Elevated
12243,250000,35,0,241711,7481,0,0.23012189426192106,Low
15811,10000,27,2,6100,1281,1,0.8837290745778793,Very High
26009,100000,39,0,1884,0,0,0.4787548264965612,High
24743,280000,34,0,251267,15000,0,0.23012189426192106,Low
16523,20000,23,1,17845,0,0,0.7132952380403815,Very High
17470,90000,32,0,68248,2388,0,0.23012189426192106,Low
24342,200000,38,2,102272,5000,1,0.8837290745778793,Very High
3331,50000,29,1,49612,0,0,0.7132952380403815,Very High
3729,110000,28,1,112597,0,1,0.7132952380403815,Very High
20336,90000,54,3,86228,1500,1,0.8837290745778793,Very High
24388,320000,40,0,8240,8240,0,0.23012189426192106,Low
12553,70000,42,0,71255,2800,1,0.38283804163614554,Elevated
8401,100000,32,2,50332,3000,0,0.9260126453015733,Very High
8542,490000,50,0,17884,6836,1,0.23012189426192106,Low
16006,20000,34,0,17489,3077,0,0.20287159931475213,Low
26468,100000,49,0,41088,2000,0,0.23012189426192106,Low
8466,80000,29,0,48098,2081,0,0.23012189426192106,Low
9551,80000,30,2,73113,3300,0,0.9260126453015733,Very High
20920,50000,36,2,45960,0,1,0.8837290745778793,Very High
15819,400000,26,0,74465,3600,0,0.23012189426192106,Low
8810,30000,59,0,20044,1531,0,0.41588151022565645,Elevated
16388,450000,38,0,87836,6000,0,0.23012189426192106,Low
23134,280000,37,0,252814,10610,1,0.23012189426192106,Low
18745,220000,29,0,217345,4030,0,0.23012189426192106,Low
7477,30000,42,0,9801,1200,1,0.4787548264965612,High
23602,240000,41,0,5366,0,0,0.347541273276117,Elevated
9714,360000,29,1,0,1244,0,0.3396499288321693,Moderate
21858,210000,27,0,4700,0,0,0.4787548264965612,High
7597,470000,35,0,64875,2505,0,0.23012189426192106,Low
15198,140000,26,0,182424,10207,0,0.23012189426192106,Low
11076,50000,45,0,24077,1000,0,0.38283804163614554,Elevated
11908,130000,43,3,19085,0,1,0.9260126453015733,Very High
29690,200000,36,0,396,396,0,0.4787548264965612,High
12372,40000,28,1,27746,2000,1,0.7735534076852892,Very High
28451,320000,37,0,-5700,0,0,0.4787548264965612,High
10131,470000,38,0,156454,5526,0,0.23012189426192106,Low
9357,130000,29,0,-200,0,1,0.4787548264965612,High
8225,30000,22,1,28037,1745,0,0.7735534076852892,Very High
9135,260000,43,0,99523,3514,0,0.23012189426192106,Low
2494,290000,32,0,78200,3700,0,0.23012189426192106,Low
9727,140000,30,0,326,326,1,0.4787548264965612,High
11910,350000,38,0,362,792,0,0.347541273276117,Elevated
12154,70000,23,0,1823,326,0,0.38283804163614554,Elevated
29525,30000,42,1,24335,0,1,0.7735534076852892,Very High
29301,200000,25,2,147660,5500,1,0.9260126453015733,Very High
18349,50000,23,0,8889,1500,0,0.38283804163614554,Elevated
6921,260000,32,0,0,0,1,0.347541273276117,Elevated
15975,50000,35,0,16053,2000,0,0.38283804163614554,Elevated
7445,30000,25,0,20983,2000,0,0.38283804163614554,Elevated
16133,30000,40,2,27783,1748,1,0.8837290745778793,Very High
12760,300000,29,0,1825,2017,0,0.347541273276117,Elevated
28248,30000,32,0,3454,0,0,0.4787548264965612,High
8280,90000,39,0,7328,3784,0,0.23012189426192106,Low
28167,30000,32,0,27764,2000,1,0.38283804163614554,Elevated
29088,140000,56,0,11106,3000,0,0.570501077187048,High
15157,70000,23,0,32244,1841,0,0.41588151022565645,Elevated
7534,350000,41,0,0,3813,0,0.2969376556285609,Moderate
2841,210000,32,0,1952,1526,0,0.347541273276117,Elevated
22503,50000,44,0,16094,3155,1,0.6832214599145177,Very High
8142,30000,28,0,5688,0,0,0.2712812631662762,Moderate
15900,160000,24,0,2990,8619,0,0.2969376556285609,Moderate
21166,260000,38,3,2500,0,1,0.8837290745778793,Very High
5547,30000,24,0,22280,1748,0,0.41588151022565645,Elevated
2643,50000,25,0,21316,2375,0,0.38283804163614554,Elevated
3199,20000,24,0,15703,4663,0,0.570501077187048,High
27983,100000,28,0,94245,3500,0,0.23012189426192106,Low
10311,50000,25,0,8107,1000,0,0.20287159931475213,Low
17044,50000,26,2,46800,2100,1,0.9260126453015733,Very High
22322,240000,28,0,5740,1215,0,0.23012189426192106,Low
7243,320000,47,0,10159,38075,0,0.6550539400917675,Very High
11755,160000,27,1,0,0,0,0.6088952019010146,High
27691,270000,25,0,4999,5588,0,0.23012189426192106,Low
8775,150000,25,0,39445,2000,0,0.2969376556285609,Moderate
28163,210000,44,0,14993,1938,0,0.2969376556285609,Moderate
22712,320000,35,0,157249,6000,1,0.23012189426192106,Low
25207,110000,23,0,541,541,0,0.2712812631662762,Moderate
25909,80000,32,0,5988,0,0,0.4787548264965612,High
11550,80000,39,0,49171,2000,1,0.23012189426192106,Low
20944,280000,39,2,130549,5000,1,0.8837290745778793,Very High
26980,390000,47,0,5768,8875,0,0.23012189426192106,Low
23627,270000,43,0,135068,5000,0,0.23012189426192106,Low
23772,80000,60,0,37298,3000,0,0.23012189426192106,Low
23044,160000,33,0,699,0,1,0.347541273276117,Elevated
23576,210000,38,0,-81,0,0,0.4787548264965612,High
22105,100000,29,0,7815,5000,0,0.2969376556285609,Moderate
3833,120000,48,0,3845,0,1,0.347541273276117,Elevated
2776,210000,40,0,2309,4791,0,0.23012189426192106,Low
2102,140000,35,2,56528,2800,0,0.9260126453015733,Very High
4095,150000,33,0,144761,6005,0,0.23012189426192106,Low
26726,210000,27,0,36017,3015,0,0.23012189426192106,Low
4772,200000,40,0,193048,6410,0,0.23012189426192106,Low
24127,80000,27,2,58324,0,1,0.8837290745778793,Very High
29995,80000,34,2,72557,7000,1,0.9260126453015733,Very High
12251,340000,39,0,93767,65758,0,0.2969376556285609,Moderate
28894,30000,41,3,1660,428,0,0.7660818893216393,Very High
16607,80000,32,0,37639,1650,0,0.5348990689804838,High
4536,230000,37,1,0,0,1,0.6088952019010146,High
13801,450000,43,2,1000,0,0,0.7660818893216393,Very High
14941,50000,55,0,25330,1745,0,0.38283804163614554,Elevated
12105,70000,23,0,16103,2800,0,0.6550539400917675,Very High
9062,220000,46,2,243517,0,0,0.8837290745778793,Very High
3669,300000,37,1,5975,1905,0,0.5382018784947318,High
22378,220000,28,0,43436,5012,0,0.23012189426192106,Low
15860,260000,29,1,0,18488,0,0.3396499288321693,Moderate
